Author,Journal,Journal_type,Pub.year,Title,Abstract,Survey,Experiment,Qualitative,Intersectionality,Environments,Black,Black_immigrants,Asian,Latinx,Whites,Others,Cross-national,Cross-regional
Rogers M. Smith,Journal of Constitutional Law,Legal studies,2002,Black and White after Brown: Constructions of Race in Modern Supreme Court Decisions,"This essay examines one dimension of a quite broad-ranging topic: how modern American law is explicitly and implicitly constructing the racial identities of contemporary American citizens. I focus on two contrasting conceptions of ""white"" and ""black"" racial identity visible in decisions of the United States Supreme Court during the post-Jim Crow era.' I term these the ""damaged race"" and the ""racial irrelevance"" views (though the latter is more customarily referred to as ""color-blind"" constitutionalism). I argue that both these conceptions are flawed, because both can easily be understood to imply that whites today are as a group superior to blacks in America, and belief in such superiority can in turn support policies and practices that continue to privilege white interests I suggest that a third conception, that of ""distinct racial damages,"" does more to make sense of how the law has helped create the racial identities that Americans still experience themselves as possessing. It holds that both ""blacks"" and ""whites"" today should be seen as social groups that are still harmed by the consequences of past official constructions of race, though in very different ways. This conception of contemporary racial identities is, I believe, simply accurate; it may also serve as a better guide to legal and political action on racerelated issues. Though I think that this analysis can be extended to encompass the great variety of racial identities in past and present America, I confine the argument here to Supreme Court depictions of ""blacks"" and ""whites."" Those constructions have, I believe, done the most to shape the law's approach to racial topics.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
James J. Forman,Cardozo Law Review,Legal studies,2011,"The Black Poor, Black Elites, and America's Prisons","Acknowledging Race in a ""Post-Racial"" Era-presented a challenge. Numerous panelists criticized the term ""post-racial,"" arguing that race remains central to understanding how America operates. By contrast, members of the criminal justice panel did not even feel the need to ask whether we are post-racial. Few people would assert that our criminal system is anywhere near the point that race no longer matters. This is not to say that racism infects our criminal system to the extent it once did. Our criminal system-like the rest of American society-has been profoundly transformed. Blacks accused of crimes are no longer lynched without trial or worked to death on plantation-like settings; black victims are no longer systematically ignored by police and courts. Yet despite this progress there is no serious argument to be made that our criminal system is post-racial. Why not? Principally-though not exclusively 5 -because of our nation's penal system. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jas M. Sullivan, Keena N. Arbuthnot",Journal of Black Studies,Ethnic studies,2007,The Effects of Black Identity on Candidate Evaluations: An Exploratory Study,"Although Barack Obama’s entrance into the 2008 presidential campaign has been warmly received by Whites, Blacks have been somewhat ambivalent. Some even have claimed that Obama is not “Black.” The case of Barack Obama brings to the forefront the prospect of intragroup identity differences that exist among Blacks and the potential importance of a candidate’s racial background in elections. Consequently, the authors ask the following questions: (a) Does the racial background of a political candidate affect Black voters’ support and evaluation of a candidate’s personal attributes (i.e., trust, concern, strength, and qualification)? and (b) Focusing purely on the treatment groups separately (White, biracial, and Black candidates), does Black identity affect Blacks’ support and evaluation of a candidate’s personal attributes? The experimental results of this exploratory study find race does make a difference on candidate support, and Black identity influences the way in which Black respondents perceive White, biracial, and Black candidates. As a result, these findings suggest that differences in how Blacks feel about a candidate will depend on the candidate’s racial background, their own attitudes and beliefs about being Black, and where they fall on various demographic and political measures.",1,1,0,0,0,1,0,0,0,0,0,0,0
"Niambi M. Carter, Efren O. Perez",Political Psychology,Behavior,2015,Race and Nation: How Racial Hierarchy Shapes National Attachments,"We contend that the boundaries and nature of national attachments are shaped by the position of one's group within America's racial order, with higher status yielding more racially exclusive forms of identity. We test our claims in the realm of xenophobia. Using an original survey of African Americans (n = 1,000) and Whites (n = 1,000), we assess national pride, nationalism, nativism, and racial identity, plus affect toward various immigrant groups. We establish that national attachments have racially varied meanings, thereby producing sharp differences in each racial group's response to foreigners. Although national pride is unrelated to White antipathy toward outsiders, nationalism and nativism increase White hostility to immigrants—except when they are White. In contrast, national pride diminishes African American hostility to Black and non‐Black immigrants, while nativism is generally unrelated to Black antipathy to outsiders. Finally, while nationalism heightens xenophobia among Blacks, this sentiment envelops all foreigners—including African immigrants. We discuss our results' implications for theories of national attachment in intergroup settings.",1,0,0,0,0,1,0,0,0,0,0,0,0
Taeku Lee,Du Bois Review,REP,2008,FROM SHARED DEMOGRAPHIC CATEGORIES TO COMMON POLITICAL DESTINIES: Immigration and the Link from Racial Identity to Group Politics,"Little controversy remains about the profound shifts in the demographic landscape of the United States since the mid-1960s. Far more controversial is whether this transformation will bring about a new politics of race. This paper argues that a key to settling this debate is a clearer specification of the “identity-to-politics” link: the nexus between a population defined by shared racial and ethnic labels and a collective group politics based on those definitions. The paper articulates some potential pitfalls in how this nexus is commonly specified in empirical research and proposes an approach that distinguishes five key processes that are typically lumped together in linking shared demographic categories to common political destinies: definition, identification, consciousness, venue selection, and choice. The paper describes an example of this approach (the case of ethnoracial classification and the empirical measurement of race) and concludes by discussing its potential utility and limitations.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jas M. Sullivan, Keena N. Arbuthnot",Social Science Quarterly,Social science,2014,Racial Identity and Intergroup Attitudes: A Multiracial Youth Analysis,"This article examines the racial identity attitudes of white, black, and Hispanic youth and explores how these identities shape their feelings toward various racial and ethnic groups (whites, blacks, Asians, Hispanics, Arabs, and biracial individuals). Using the 2005 Youth Culture Survey data set, we test our theoretical expectations using descriptive statistics and multiple regression models. The relationship between racial identification and out‐group attitudes varies among racial groups; specifically, racial identity variables do not have a significant impact on whites’ out‐group attitudes, but they do matter for blacks and Hispanics. While American society has changed in many ways (i.e., increased number of minorities and more tolerance, or at least more discussion of acceptance, for racial groups), our research finds that race still plays a consequential role in the lives of young racial minorities.",1,0,0,0,0,1,0,0,1,1,0,0,0
"Oscar H. Gardy, Jr.",Journal of Black Studies,Ethnic studies,2001,"RACIAL IDENTITY, MEDIA USE, AND THE SOCIAL CONSTRUCTION OF RISK AMONG AFRICAN AMERICANS","Despite the conflict and turmoil we have observed among media scholars who have been concerned with discovering the nature of media effects, there are very few among us who would deny that media help to shape the ways in which we understand the world (Hagen & Wasko, 2000; Livingstone, 1998). Our present uncertainty regarding the precise role that media play in this process exists in large part because we have become less parochial in our views about causation. We have chosen, or have been forced to expand, the number and variety of individual and contextual factors that we believe play an important role in shaping or moderating the ways in which media content comes to be processed, stored, and put to routine use (Renckstorf, 1996). Among the more important influences we have identified are those associated with our identities as members of groups. Of course, our identity as a member of a group defined primarily by race or ethnicity is just one component of an extremely complex identity structure (Frable, 1997; Jaret & Reitzes, 1999). The salience or centrality of racial identity varies across individuals, groups, contexts, and moments in time (Cornell & Hartmann, 1998). Managing this complexity in an effort to understand the nature of media influence is a daunting challenge. This article is an attempt to engage this complexity",1,0,0,0,0,1,0,0,0,0,0,0,0
"Jennifer L. Hochschild, Vesla Weaver",Social Forces,Sociology,2007,The Skin Color Paradox and the American Racial Order,"Dark-skinned blacks in the United States have lower socioeconomic status, more punitive relationships with the criminal justice system, diminished prestige, and less likelihood of holding elective office compared with their lighter counterparts. This phenomenon of “colorism” both occurs within the African American community and is expressed by outsiders, and most blacks are aware of it. Nevertheless, blacks' perceptions of discrimination, belief that their fates are linked, or attachment to their race almost never vary by skin color. We identify this disparity between treatment and political attitudes as “the skin color paradox” and use it as a window into the politics of race in the United States over the past half-century. Using national surveys, we explain the skin color paradox as follows: Blacks' commitment to racial identity overrides the potential for skin color discrimination to have political significance. That is, because most blacks see the fight against racial hierarchy as requiring their primary allegiance, they do not see or do not choose to express concern about the internal hierarchy of skin tone. Thus dark-skinned blacks' widespread experience of harm has no political outlet — which generates the skin color paradox.",1,0,0,0,0,1,0,0,0,0,0,0,0
Candis Watts Smith,"Politics, Groups, and Identities ",REP,2013,Ethnicity and the role of group consciousness: a comparison between African Americans and Black immigrants,"This article examines the role of context on the mobilization of politicized racial group consciousness among African Americans and Black immigrants. I use data from a nationally representative sample of African Americans and Black immigrants to gain a better understanding of what policy areas and political behaviors are influenced by racial group consciousness. This article, overall, not only sheds light on the circumstances under which group consciousness influences Blacks in the United States but it also provides a comparative analysis of how group consciousness influences African Americans and Black immigrants differently.",1,0,0,0,0,1,1,0,0,0,0,0,0
Kathy H. Rim,American Politics Research,General political science,2009,Racial Context Effects and the Political Participation of Asian Americans,"In 1948, V. O. Key demonstrated how racial context influences political attitudes and behavior in the South. In more recent studies, racial linked fate and racial discrimination have been identified as powerful predictors of minority political behavior. What remains unexplored in the literature is whether race-based predictors such as these vary as a direct function of racial context and, as a result, increases or decreases political participation. Past research has focused on the singular effects of racial linked fate or discrimination but has yet to examine its potential interactive effects with racial context. To assess these potentially interactive effects, this article focuses on Asian Americans living within two distinct racial contexts: Hawaii and the mainland states of California, New York, and Illinois. Although there is no effect on Asian American voting behavior, results indicate significant interactive effects of race-based predictors and racial context on Asian American nonvoting participation.",1,0,0,0,1,0,0,1,0,0,0,0,1
Tatishe Nieta,American Politics Research,General political science,2012,"United We Stand? African Americans, Self-Interest, and Immigration Reform","Alongside the growth of the immigrant population has been a corresponding backlash by citizens who increasingly support restrictive immigration policies aimed at undocumented immigrants. Much of what we know about this backlash is based on data from White Americans. Are African Americans among the growing segment of anti-immigrant supporters? Employing data from the 2006 Pew Center “America’s Immigration Quandary Survey,” I uncover that African Americans support restrictive immigration policies, and that class membership alongside subjective and objective measures of self-interest influence these policy stances. These findings challenge prior assertions that self-interest does little to account for American public opinion, demonstrating that on the issue of immigration reform that self-interest matters for African Americans.",1,0,0,0,0,1,0,0,0,0,0,0,0
"Orey, Byron D'Andra; King, Athena M; Titani-Smith, Leniece; Ricks, Boris E.",The Journal of Race and Policy,REP,2012,"Black Opposition to Progressive Racial Policies and the ""Double (Non) Consciousness"" Thesis","The current research tests Du Bois' ""double consciousness"" thesis by employing positive and negative measures of black racial attitudes. Most importantly perhaps is that this research employs a variable that has traditionally been used to measure white resentment toward blacks, which the first author has labeled as ""black intra-group resentment."" We hypothesize that respondents who possess high levels of intra-group resentment will be less likely to support progressive racial-policies. To the contrary, respondents who possess high levels of linked fate and black affect will be more likely to support progressive racial-policies. The data consist of 379 African American respondents primarily from Historically Black Universities. Using regression analyses, the findings reveal that a strong positive racial-identity among blacks bolsters support for progressive policies. In contrast, black intra-group resentment is found to reduce support for such policies. We conclude that intra-group resentment serves as a constraint for positive racial-identity, and also deem it to be a valid measure of negative racial identity as espoused by some blacks.",1,0,0,0,0,1,0,0,0,0,0,0,0
Suzanne Dovi,American Political Science Review,General political science,2003,"Preferable Descriptive Representatives: Will Just Any Woman, Black, or Latino Do?","A body of theoretical literature has developed that explains why historically disadvantaged groups should be represented by members of those groups. Such representatives are commonly referred to as descriptive representatives. This literature has also endorsed various institutional reforms aimed at increasing the number of descriptive representatives, e.g., party list quotas, racial districting, and proportional representation. However, this literature does not articulate criteria that should guide the selection of descriptive representatives to serve in these institutional positions. Indeed, some thinkers claim that such criteria cannot, or at least should not, be articulated. I argue that some descriptive representatives are preferable to others and that criteria for selecting preferable descriptive representatives can, and should, be articulated. Moreover, I recommend one such criterion: Preferable descriptive representatives possess strong mutual relationships with dispossessed subgroups of historically disadvantaged groups.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Matthew O. Hunt, David C. Wilson",Du Bois Review,REP,2009,"RACE/ETHNICITY, PERCEIVED DISCRIMINATION, AND BELIEFS ABOUT THE MEANING OF AN OBAMA PRESIDENCY","This paper explores how race/ethnicity and perceptions of racial discrimination and inequality shape beliefs about the implications of an Obama presidency for U.S. race relations. Specifically, using data from a June/July 2008 Gallup/USA Today survey, we examine how African Americans, Hispanics, and Whites differ in their perceptions of the importance of an Obama victory and in beliefs about the implications of such for race relations, racial progress, and opportunities for Blacks in their careers and in national politics. We also examine how perceptions of the extent and nature of racial discrimination and inequality shape these outcomes (overall and by race/ethnicity). Results show that African Americans, relative to Whites and Hispanics, are especially likely to see an Obama victory as important and meaningful in terms of relatively abstract notions of racial change. In contrast, Hispanics are more likely than African Americans and Whites to believe that an Obama win will translate into concrete societal changes, such as expanded opportunities for Blacks in work and politics. In addition, perceived discrimination and inequality positively shape all of the outcomes under study (more perceived discrimination equals more importance and optimism attached to an Obama win), though this association is especially strong among Whites—a pattern possibly rooted in divergent meanings attached to perceived discrimination and inequality by race/ethnicity. Overall, our findings suggest that African Americans view an Obama victory as meaningful primarily because of its symbolic significance, rather than because they believe it will result in substantive racial progress. We conclude by offering some speculation and selected questions for future research on race and U.S. politics.",1,0,0,0,0,1,0,0,1,1,0,0,0
Atiya Kai Stokes‐Brown,Social Science Quarterly,Social science,2012,America's Shifting Color Line? Reexamining Determinants of Latino Racial Self‐Identification,"Latinos are the nation's largest minority group and will double in size by 2050. Their size coupled with the fact that Latinos do not constitute a separate race raises questions about Latinos’ incorporation into the U.S. racial hierarchy. This article explores patterns of Latino racial identity formation, examining the determinants of racial identity. Using the 2006 Latino National Survey, I estimate multinomial logit and ordered probit models of identification choices. Latino racial identity is strongly associated with several factors, including socioeconomic status, measures of perceived discrimination and commonality, and measures of acculturation/assimilation. Most Latinos have a broader, more complex understanding of race. Furthermore, some Latinos do believe that they occupy a unique position in the racial hierarchy. The results suggest that the color line W. E. DuBois argued has long divided our nation may eventually shift.",1,0,0,0,0,0,0,0,1,0,0,0,0
Evelyn M. Simien,Social Science Quarterly,Social science,2004,"The Intersection of Race and Gender: An Examination of Black Feminist Consciousness, Race Consciousness, and Policy Attitudes","In this article, we investigate black feminist consciousness, its relationship to race consciousness, and its impact on policy attitudes. Unlike scholars and activists who argue that black feminist consciousness detracts from race consciousness, we argue that the two go hand in hand. Using confirmatory factor analysis, we examine public opinion survey data from the 1993 National Black Politics Study. We find that both black women and men have fairly high levels of support for black feminist ideals. Also, we provide evidence that black feminist consciousness is positively related to the components of race consciousness and demonstrate the influence of black feminist consciousness on support for abortion rights. Our research is important because it uses a measure of black feminist consciousness true to its theoretical origins.",1,0,0,1,0,1,0,0,0,0,0,0,0
"Joachim J. Savelsberg, Ryan D. King",Annual Review of Law and Social Sciecne,Review,2007,Law and Collective Memory,"Law and collective memory are reciprocally associated. Law steers collective memory, directly but selectively, as trials produce images of the past through the production and presentation of evidence in ritual practices and public discourse. Law affects collective memory indirectly by regulating the production, accessibility, and dissemination of information about the past. Simultaneously, collective memory is preserved and activated by carrier groups to inform lawmaking and law enforcement; and memories of past atrocities serve as analogical devices that, under certain conditions, influence law. Such institutionalization of collective memory as law partly results from applied commemorations, lawmaking situations that invoke the past. The relevance of the reciprocal relationship between law and collective memory is highlighted by the international community’s responses to recent atrocities and regime transitions and by its new openness to intervention in national affairs. This article reviews past research and discusses avenues for future work on law and collective memory.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ismail K. White,American Political Science Review,General political science,2007,When Race Matters and When It Doesn't: Racial Group Differences in Response to Racial Cues,"Building on previous research on the effects of racial priming on the opinions of White Americans, this paper engages the question of how exposure to racial cues in political messages shapes the opinions of African Americans. I argue that explanations of racial priming that focus exclusively on White Americans are insufficient to explain how racial cues influence the opinions of Black Americans, as they fail to account for the activation of in-group attitudes and mis-specify the role of explicit racial cues. In two separate laboratory experiments, I test the effects of explicitly racial, implicitly racial, and nonracial verbal cues on both Black and White Americans' assessments of an ostensibly nonracial issue. The results point to important racial differences in the effectiveness of explicit and implicit racial verbal cues in activating racial thinking about an issue. Only frames that provide oblique references to race successfully activated racial out-group resentment for Whites. Among Blacks, explicit references to race most reliably elicited racial thinking by activating racial in-group identification, whereas the effect of implicit cues was moderated by the activation of negative representations of the in group. These findings not only demonstrate that racial attitude activation works differently for African Americans than for Whites but also challenge conventional wisdom that African Americans see all political issues through a racial lens.",1,1,0,0,0,1,0,0,0,0,0,0,0
"Rosalee A. Clawson, Elizabeth R. Kegler, Eric N. Waltenburg",Political Behavior,Behavior,2003,Supreme Court Legitimacy and Group-Centric Forces: Black Support for Capital Punishment and Affirmative Action,"The Supreme Court has addressed capital punishment and affirmative action many times and, as a result, has had sweeping policymaking effects. For that reason, we argue that black opinion on capital punishment and affirmative action will be shaped by diffuse support for the Court. We also recognize the important role of group-centric forces in shaping black opinion. We find that diffuse support for the Court leads blacks with lower levels of race consciousness to be more supportive of capital punishment and less supportive of affirmative action, positions in line with the Court's decisions on these issues but contrary to black interests. The Court, however, is not able to throw its cloak of legitimacy around its policy position for blacks with the highest levels of group consciousness.",1,0,0,0,1,1,0,0,0,0,0,0,0
Deborah J. Schildkraut,American Politics Research,General political science,2012,Which Birds of a Feather Flock Together? Assessing Attitudes About Descriptive Representation Among Latinos and Asian Americans,"This study assesses preferences for descriptive representation among Latinos and Asian Americans. The findings are consistent across data sets, measurement strategies, and panethnic groups: Latinos and Asian Americans who do not think of themselves primarily as American, who think that their fate is tied to that of the group, and who are less acculturated are more likely than others to prefer coethnic representatives. The implications of these findings are discussed, with a focus on the conditions under which the nation’s rapidly diversifying population could promote competing views about political representation in the United States.",1,0,0,0,0,0,0,1,1,0,0,0,0
Deborah J. Schildkraut,Social Science Quarterly,Social science,2016,Latino Attitudes About Surrogate Representation in the United States,"Determine the effects of linked fate, group identification, perceptions of discrimination, and acculturation on Latino attitudes about surrogate representation, which occurs when elected officials represent people outside of their electoral constituency. Analysis of public opinion data to determine whether Latinos feel that Latino‐elected officials from other states represent them and assess which Latinos are more or less likely to feel this way. Linked fate and identifying primarily with one's national origin group, instead of as an American, enhance the perception of surrogate representation. Less‐acculturated Latinos are also more likely to look to surrogates for representation. Perceiving that one has been a victim of discrimination, on the other hand, alienates Latinos from co‐ethnic representatives, making them less likely to feel represented by surrogates. Many Latinos without descriptive representation still feel represented via surrogates, but high rates of perceptions of discrimination are a cause for concern.",1,0,0,0,0,0,0,0,1,0,0,0,0
"Sharon D. Wright Austin, Richard T. Middleton, Rachel Yon",Political Research Quarterly,General political science,2011,"The Effect of Racial Group Consciousness on the Political Participation of African Americans and Black Ethnics in Miami-Dade County, Florida","This research examines group consciousness among people of African descent in Miami-Dade County, Florida, and its possible impact on their political participation. Using an original survey of over one thousand respondents, the authors question whether African Americans and black ethnics (Africans, Afro-Caribbean Americans, Afro-Cuban Americans, and Haitians) possess a shared group consciousness and, if so, why. Second, does group consciousness or socioeconomic status most influence the political participation of our respondents? The authors find that these groups have a common consciousness because of their skin color, experiences with discrimination, common interests, similar ideological views, and leadership preferences. They also find that while group consciousness has more of an impact on African American political participation, socioeconomic status more heavily influences black ethnics. Last, factors such as age, gender, partisanship, religion, and second-generation citizenship also affect African American and/or black ethnic political participation.",1,0,0,1,0,1,0,0,0,0,0,0,0
Andre Cavalcante,"Communication, Culture, and Critique",Communication,2017,Breaking into Transgender Life: Transgender Audiences' Experiences with “First of Its Kind” Visibility in Popular Media,"Drawing from ethnographic fieldwork with transgender individuals and communities, this article explores transgender audiences' interactions with what I call “breakout texts,” media that portray “first of its kind” representation. I analyze the films Boys Don't Cry (1999) and TransAmerica (2005) as transgender breakout texts, or media that break into the cultural mainstream, break with historical representational paradigms, and break into the everyday life of viewers. Focusing mainly on this last break, I examine how transgender audiences discern breakout texts through a paradigm of mediatized “linked fate” (Dawson, 1994); how audiences move from “cultural readers” (Bobo, 1988) to cultural interpreters as a result of breakout texts' cultural popularity; and how audiences engage in “queer identity work” (Gray, 2009) with breakout texts.",0,0,1,1,0,0,0,0,0,0,1,0,0
Maruice Mangum,Journal of Public Management and Social Policy,Social policy,2016,Explaining Political Trust among African Americans,"African Americans have low levels of political trust when compared to white Americans. Explanations of African American’s political trust remain minimal. Utilizing data taken from the 1996 National Black Election Study and ordered probit to analyze the data, this study examines four explanations of African American political trust. It estimates political trust as a function of demographics, perceptions about the economy, beneficence from the government, and race orientation. Results show support for most of these factors, but no support for government beneficence. Social location, economic evaluations, and orientation to race influence African American political trust. I conclude that group-centric perceptions of African Americans’ conditions play an important role in explaining the race’s political trust.",1,0,0,0,0,1,0,0,0,0,0,0,0
Michael Jones‐Correa  Sophia J. Wallace  Chris Zepeda‐Millán,Social Science Quarterly,Social science,2015,The Impact of Large‐Scale Collective Action on Latino Perceptions of Commonality and Competition with African Americans,To evaluate the impact of protests on Latinos' perceptions of commonality and competition with African Americans. We hypothesize that the reinforcement and politicization of in‐group identities leads to greater identification and sense of commonality with other marginalized racial/ethnic groups. This study utilizes geocoded Latino National Survey data combined with an expanded protest event data set to estimate the effect of temporal and spatial proximity to immigrant rights protests on Latinos’ perceptions of commonality and competition with African Americans using ordered logistic regression models. The findings suggest that respondents’ proximity to marches had a positive impact on Latino perceptions of commonality with African Americans. The results also show that proximity to protests did not lead to an increase in feelings of competition with African Americans except in the case of electoral representation. Examining temporal and spatial effects of protests improves our understanding of how protests can influence public opinion and how protests can influence identities and group relations.,1,0,0,0,1,0,0,0,1,0,0,0,0
"Jongho Lee, Keith Boeckelman, Jonathan Day",Journal of Black Studies,Ethnic studies,2013,The Contextual Underpinnings of Voting Patterns for Black Statewide Candidates,"African American candidates have usually struggled to win statewide elections, but they often perform relatively well in some localities, while doing badly in others. Drawing on unique time-series cross-section data collected in the State of Illinois, we examine how racial and socioeconomic contexts determine support for Black candidates in statewide elections. We show that African American candidates tend to do better primarily in counties that have witnessed a growing inflow of highly educated residents. Furthermore, only in communities where a high level of racial diversity interacts with a highly educated environment do residents seem to become more willing to embrace Black statewide candidates. Our findings may help shed light on the enduring question of what the future of a diversifying society holds.",1,0,0,0,1,1,0,0,0,0,0,0,1
"Jane Junn, Natalie Masuoka",Applied Developmental Science,Behavior,2008,Identities in Context: Politicized Racial Group Consciousness Among Asian American and Latino Youth,"This article examines the role of context on the mobilization of politicized racial group consciousness among Asian American and Latino youth. We investigate group membership by analyzing face-to-face interview data with Latino and Asian American youth in New York and California on their responses to questions about the meaning of their race and ethnicity to politics. Next, we use survey data from a nationally representative sample of Asian American and Latino youth taken during the 2004 election. We also analyze the extent to which the contextual circumstances of systematic exposure to an experimental frame prompting racial and ethnic group pride influence racial group consciousness. The data help to illuminate the extent to which racial and ethnic identities of Asian American and Latino youth are manifest in their unique political contexts.",1,1,1,0,1,0,0,1,0,0,0,0,1
Chryl Laird,"Politics, Groups, and Identities ",REP,2017,Black Like Me: how political communication changes racial group identification and its implications,"Extant literature suggests that people who are highly identified with a particular group are likely to make choices in line with that group’s interests. But, in the realm of politics, we know very little about how group identification transitions into a salient political identification. What is the mechanism that makes this transition happen? I argue that this transition and prioritization hinges on political communication that makes a group member believe that they are relevant to the political group. To engage this argument, I focus on Black political identification due to the strong empirical evidence that demonstrates that Black political identification, or linked fate, is fundamental to explaining the political decisions and behavior of Black Americans. Using experimental research, I test the effects of racialized political discourse by varying which segments of the Black community are being defined as a part of the broader “Black” interest. I find that Blacks who are marginalized in mainstream and intra-group discourse (moveable Blacks) show significant change in their strength of political identification with the racial group when their interests are being framed as major interests for the group.",1,1,0,1,0,1,0,0,0,0,0,0,0
"Kimberly R. Huyser, Jillian Medeiros, Pérez, Vickie D. Ybarra, Julia Marin Hellwege, Lisa Sanchez",Social Science Quarterly,Social science,2017,Differential Influence of the Great Recession on Political Participation Among Race and Ethnic Groups,"Our study seeks to understand the role of perceived economic stress of the Great Recession on political participation among blacks, whites, and Latinos. We use the 2012 Collaborative Multi‐Racial Political Study and negative binomial regression to examine the impact of financial hardship on black, Hispanic, and white political participation. We find that political participation among whites is unaffected by the Great Recession and is largely motivated by political interest. Blacks are mobilized by financial hardship even after controlling for political enthusiasm and linked fate. Hispanics have the lowest level of political participation. Overall, we conclude that the Great Recession did affect political behavior but differently across race and ethnic groups; specifically, Hispanics were least likely to politically engage if they experienced negative consequences of the Great Recession.",1,0,0,1,1,1,0,0,0,0,0,0,0
J. Matthew Wilson,Electoral Studies,Behavior,2012,How are we doing? Group-based economic assessments and African American political behavior,"Using data from the National Black Election Study, this study tests the importance of group-based economic evaluations in driving African American political behavior. Group-based evaluations powerfully influence presidential approval and vote choice, even controlling for national and personal evaluations and a conception of “linked fate.” More importantly, group-based assessments exert a significant and independent influence on turnout, the central variable in black electoral politics. The results extend and reconsider the implications of group solidarity as a motivator of black political behavior and suggest that a revision of traditional notions of economic voting is in order, at least for African Americans.",1,0,0,0,0,1,0,0,0,0,0,0,0
Mignon R. Moore,Du Bois Review,REP,2010,ARTICULATING A POLITICS OF (MULTIPLE) IDENTITIES1: LGBT Sexuality and Inclusion in Black Community Life,"This work examines the strategies Black lesbian, gay, bisexual, and transgender (LGBT) people use in Black environments to proclaim a gay identity that is simultaneous with a Black identity. It identifies three distinctive features of LGBT protest in Black communities. Black gay protest takes on a particular form when individuals are also trying to maintain solidarity with the racial group despite the threat of distancing that occurs as a result of their sexual minority status. Black sexual minorities who see their self-interests as linked to those of other Blacks use cultural references to connect their struggles to historical efforts for Black equality and draw from nationalist symbols and language to frame their political work. They believe that increasing their visibility in Black spaces will promote a greater understanding of gay sexuality as an identity status that can exist alongside, rather than in competition with, race. The findings of this research have implications for larger discussions of identity, protest, and gay sexuality in intraracial contexts.",0,0,1,1,0,1,0,0,0,0,0,0,0
Shayla C. Nunnally,Journal of Black Studies,Ethnic studies,2011,(Dis)Counting on Democracy to Work: Perceptions of Electoral Fairness in the 2008 Presidential Election,"Allegations of voting irregularities in the 2000 and 2004 presidential elections seemingly compromised the integrity of the electoral outcomes. Because elections inform voters and provide them with information to be used in future elections, one can speculate that voters also can learn to fear electoral unfairness in future elections. This article examines how Blacks, Whites, and Latinos assessed prospects for voting irregularities in the 2008 presidential election. Using public opinion data from the National Politics and Socialization Survey, the analysis discerns whether there are racial differences in perceptions of voting irregularities. It tests the influence of trust in national government, ethics about the importance of the vote, and group consciousness (for Black respondents, specifically) in determining fear of voting irregularities. Results indicate generalized fear of voting irregularities, without racial differences. Political distrust enhances fear of voting irregularities. Blacks’ racial consciousness enhances fear of voting irregularities in the 2008 presidential election.",1,0,0,0,0,1,0,0,1,1,0,0,0
Erin C. Cassese,Sex roles,Gender,2016,"Religious Beliefs, Gender Consciousness, and Women’s Political Participation","Organized religion affords the faithful a variety of civic skills that encourage political participation. Women are more religious than are men by most measures, but religious women do not participate in politics at elevated rates. This discrepancy suggests a puzzle: religion may have a different effect on the political mobilization of men and women. In the present paper, we explore the effect of biblical literalism—a widespread belief that the Bible is the actual word of God, to be taken literally—on political participation. Using the 2012 American National Election Study, we find support for our two hypotheses: (a) biblical literalism is associated with lower levels of gender consciousness, as measured by perceptions of discrimination and strength of ties to women as a group, and (b) reductions in these two factors account for lower political participation among women. Our findings provide new insights into the ways religious and gender identities intersect to influence political mobilization among women, with interesting implications for an American political climate where gender and religion both represent fundamental identities that shape political behavior.",1,0,0,1,0,0,0,0,0,0,1,0,0
MARISA ABRAJANO  CRAIG M. BURNETT,Presidential Studies Quarterly,Presidential studies,2012,Polls and Elections: Do Blacks and Whites See Obama through Race‐Tinted Glasses? A Comparison of Obama's and Clinton's Approval Ratings,"Recent presidential approval trends have led many pollsters to conclude that a “racial gap” exists in President Barack Obama's job approval ratings. Pollsters have focused disproportionately on the substantial gap between Blacks and Whites. Some political commentators and media outlets attribute this divergence to the fact that Obama is the first ethnic/racial minority to occupy the White House. The existence of a White‐Black gap, however, could merely reflect the differences in the political preferences of White and Black Americans. In this article, we assess these two competing arguments by analyzing CNN polling data spanning President Obama's inauguration in January 2009 to June 2011. For comparative purposes, we examine Time/CNN polling data that begins with President Bill Clinton's inauguration in January 1993 to June 1995. Our findings suggest that the gap in Black support for President Obama is significantly larger than it is for President Clinton, providing evidence that racial group pride and solidarity appear to play an important role in Blacks' evaluations of Obama.",1,0,0,0,0,1,0,0,0,0,0,0,0
